Model,Accuracy,Precision,Recall,F1 Score
Decision Tree (BoW),0.6879166666666666,0.6894066306158652,0.6879166666666666,0.6876345468445837
Decision Tree (TF-IDF),0.6838333333333333,0.684564864770848,0.6838333333333333,0.6837481170215683
XGBoost (BoW),0.7340833333333333,0.7387950694661392,0.7340833333333333,0.7322962601490841
XGBoost (TF-IDF),0.7369166666666667,0.741026677545787,0.7369166666666667,0.7353608438158811
Naive Bayes (BoW),0.745,0.7484206884868105,0.745,0.7444404496645914
Naive Bayes (TF-IDF),0.7406666666666667,0.7459198418523368,0.7406666666666667,0.7396898599478795
Logistic Regression (BoW),0.756,0.7559877535379501,0.756,0.755977407557456
Logistic Regression (TF-IDF),0.76125,0.7612597499889893,0.76125,0.7612051056536747
Random Forest (BoW),0.73775,0.7393060572346639,0.73775,0.7375469650618275
Random Forest (TF-IDF),0.744,0.7446185898848138,0.744,0.7439651399350575
SVC (BoW),0.7595833333333334,0.7605476771561771,0.7595833333333334,0.7591787876641257
SVC (TF-IDF),0.76225,0.7623222978988603,0.76225,0.7621685102753769
KNN (BoW),0.63675,0.6463462795705703,0.63675,0.6321781454395208
KNN (TF-IDF),0.54025,0.6467700178872053,0.54025,0.44698246447725476
